Is, NN
Steak, NN
Since, IN
February, NNP
1978, CD
NEW, NN
YORK, NN
The, DT
Dow, NNP
ended, VBN
a, DT
volatile, JJ
day, NN
with, IN
small, JJ
gains, NNS
Wednesday, NNP
., .
MAIL, NN
FRONT, NN
PAGE, NN
MP, NNP
face, NN
being, VBG
forced, VBN
to, TO
vote, NN
on, IN
the, DT
death, NN
penalty, NN
skypapers, NNS
., .
Concern, NN
over, IN
the, DT
spread, NN
of, IN
radiation, NN
in, IN
drinking, NN
watersky, NN
rocketedafter, NN
the, DT
Japanese, JJ
government, NN
issued, VBN
a, DT
., .
RT, NN
cnnbrk, NN
Actor, NN
and, CC
NFL, NN
star, NN
Charles, NNP
Bubba, NNS
Smith, NNP
dies, NNS
BubbaSmith, NN
., .
ITC, NN
judge, NN
in, IN
Kodak, NNP
vs, NN
Apple, NNP
RIM, NN
case, NN
retires, NNS
., .
Broadband, NN
use, NN
lower, JJR
in, IN
Scotland, NNP
., .
Cod, NN
recovery, NN
stagnant, NN
in, IN
Irish, JJ
Sea, NNP
UK, NN
., .
A, DT
stay, NN
away, RB
from, IN
turkey, NN
burgers, NNS
Cargill, NNP
meats, NNS
re, NN
called, VBN
36, CD
million, CD
lbs, NN
of, IN
ground, NN
turkey, NN
cause, NN
it, PRP
may, MD
be, VB
contaminated, VBN
with, IN
salmonella, NN
Damn, NN
., .
SSI, NN
And, CC
Dr, NN
Mauricio, NN
Lynn, NN
To, TO
Educate, NN
And, CC
Engage, NN
First, RB
Responders, NNS
For, IN
Mass, NN
Casualty, NN
Incidents, NNS
In, IN
Las, NNP
Vegas, NN
., .
RT, NN
ikwerreman, NN
Iyenemi, NN
Furo, NN
played, NNS
for, IN
Rivers, NNS
United, NNP
U19, NN
team, NN
at, IN
Helsinki, NN
in, IN
1989, CD
In, IN
2000, CD
he, PRP
played, NNS
for, IN
Nigeria, NNP
U23, NN
team, NN
NaijaAgeCheats, NNS
., .
French, JJ
court, NN
to, TO
investigate, NN
International, NNP
Monetary, JJ
Fund, NN
chief, NN
Christine, NN
Lagarde, NNP
role, NN
in, IN
€285, NN
million, CD
arbitration, NN
deal, NN
., .
On, IN
the, DT
pad, NN
Atlas, NNS
5, CD
rocket, NN
has, VBZ
arrived, VBN
at, IN
the, DT
Complex, JJ
41, CD
pad, NN
for, IN
tomorrow, NN
launch, NN
of, IN
the, DT
Jupiter, NN
bound, NN
Juno, NN
spacecraft, NN
., .
Man, NN
charged, VBN
over, IN
guns, NNS
and, CC
grenade, NN
A, DT
68, CD
year, NN
old, JJ
west, NN
Belfast, NN
man, NN
is, VBZ
remanded, VBN
in, IN
custody, NN
charged, VBN
with, IN
four, CD
terro, NN
., .
BREAKING, NN
PM, NN
Raila, NN
Odinga, NN
suspends, NNS
top, NN
aide, NN
Miguna, NN
Miguna, NN
over, IN
IIEC, NN
spat, NN
., .
VT, NN
Alert, NN
Person, NN
with, IN
a, DT
gun, NN
reported, VBD
near, IN
Dietrick, NN
Stay, NN
Inside, IN
Secure, NN
doors, NNS
Emergency, NN
personnel, NNS
responding, VBG
Call, VB
911, CD
for, IN
help, NN
., .
Peacock, NN
returns, NNS
to, TO
zoo, NN
after, IN
a, DT
day, NN
on, IN
the, DT
loose, JJ
in, IN
New, NNP
York, NNP
via, IN
PostStyle, NN
., .
ECB, NN
acts, NNS
to, TO
ease, NN
euro, NN
zone, NN
tensions, NNS
Reuters, NNS
Reuters, NNS
The, DT
European, JJ
Central, JJ
Bank, NNP
acted, VBN
on, IN
Thursday, NNP
to, TO
ca, MD
., .
Update, NN
Person, NN
with, IN
gun, NN
reported, VBD
at, IN
Deitrick, NN
emergency, NN
responders, NNS
on, IN
scene, NN
., .
RT, NN
DC101, NN
Virginia, NNP
Tech, NN
is, VBZ
alerting, VBG
its, PRP$
community, NN
to, TO
stay, NN
inside, IN
because, IN
a, DT
person, NN
with, IN
a, DT
gun, NN
was, VBD
reportedly, RB
seen, VBN
near, IN
Dietrick, NN
dining, VBG
hall, NN
., .
U, NN
S, NN
stock, NN
indexes, NNS
tumble, NN
with, IN
the, DT
S, NN
P, NN
500, CD
and, CC
the, DT
Nasdaq, NNP
falling, VBG
more, RBR
than, IN
2, CD
percent, NN
., .
Chinese, JJ
City, NNP
Bans, NNS
Dogs, NNS
Owners, NNS
Must, NN
Turn, NN
Pets, NNS
In, IN
By, IN
Next, JJ
Week, NN
Furry, NN
friends, NNS
have, VB
got, VBD
to, TO
go, VB
in, IN
one, CD
Chinese, JJ
city, NN
Beginning, VBG
on, IN
August, NNP
., .
Julio, NN
Camargo, NN
sacked, VBN
from, IN
Gremio, NN
For, IN
the, DT
second, JJ
time, NN
in, IN
30, CD
days, NNS
Gremio, NN
sacked, VBN
their, PRP$
coach, NN
and, CC
hired, VBN
a, DT
new, JJ
one, CD
., .
Heat, NN
spell, NN
extends, NNS
another, DT
day, NN
in, IN
southern, JJ
U, NN
S, NN
A, DT
spell, NN
of, IN
suffocating, VBG
heat, NN
continued, JJ
to, TO
grip, NN
much, JJ
of, IN
the, DT
South, NNP
., .
Virginia, NNP
Tech, NN
officials, NNS
will, MD
update, NN
on, IN
the, DT
report, NN
of, IN
an, DT
armed, VBN
man, NN
on, IN
campus, NN
shortly, RB
Live, JJ
virginiatech, NN
., .
RT, NN
ESPNSoccernet, NN
Stoke, NN
City, NNP
have, VB
reached, VBN
the, DT
Europa, NN
League, NN
play, NN
off, IN
round, NN
after, IN
a, DT
2, CD
0, CD
aggregate, NN
victory, NN
over, IN
Hajduk, NN
Split, NN
., .
RT, NN
BreakingNews, NNS
Tropical, JJ
storm, NN
Emily, RB
is, VBZ
weakening, VBG
threat, NN
of, IN
heavy, JJ
rains, NNS
over, IN
Florida, NNP
remains, NNS
NBC, NNP
Miami, NN
., .
From, IN
dem, NN
leadership, NN
FAA, NN
deal, NN
Does, NNS
not, RB
affect, NN
union, NN
elections, NNS
The, DT
deal, NN
that, IN
passes, NNS
will, MD
effectively, RB
be, VB
a, DT
clean, NN
extension, NN
, 
., .
Dow, NNP
plummets, NNS
500, CD
points, NNS
in, IN
final, JJ
minutes, NNS
of, IN
trading, NN
setting, VBG
up, RB
what, WP
could, MD
be, VB
worst, JJS
day, NN
for, IN
markets, NNS
since, IN
the, DT
2008, CD
financial, JJ
crisis, NN
., .
Dow, NNP
down, RB
490, CD
as, IN
of, IN
this, DT
second, JJ
Biggest, JJS
1, CD
day, NN
drop, NN
since, IN
12, CD
1, CD
08, CD
679, CD
., .
Breaking, VBG
Dow, NNP
drops, NNS
over, IN
500, CD
points, NNS
Unemployment, NN
benefits, NNS
to, TO
run, VB
out, IN
How, WRB
that, IN
change, NN
working, VBG
out, IN
for, IN
everyone, NN
., .
Apple, NNP
Releases, NNS
Xcode, NN
4, CD
1, CD
1, CD
Via, NN
Mac, NNP
App, NN
Store, NN
to, TO
Address, NN
Installation, NN
Alert, NN
Issue, NN
mac, NN
apple, NN
., .
RT, NN
InjusticeFacts, NNS
In, IN
one, CD
incident, NN
in, IN
1958, CD
British, JJ
soldiers, NNS
clubbed, NNS
11, CD
Mau, NN
Mau, NN
men, NNS
to, TO
death, NN
in, IN
Kenya, NNP
., .
Wow, NN
see, VB
cher, NN
been, VBN
knocked, VBN
off, IN
by, IN
JLSOfficial, JJ
on, IN
i, NN
tunes, NNS
Will, MD
be, VB
a, DT
fight, NN
for, IN
number, NN
1, CD
this, DT
weekend, NN
X, NN
., .
Japan, NNP
Nikkei, NNP
down, RB
about, IN
4, CD
in, IN
the, DT
first, RB
15, CD
minutes, NNS
of, IN
trading, NN
Reaction, NN
to, TO
the, DT
fall, NN
on, IN
Wall, NNP
Street, NNP
., .
Blood, NN
vial, NN
may, MD
link, NN
Bundy, NNP
to, TO
cold, NN
cases, NNS
Notorious, JJ
serial, JJ
killer, NN
Ted, NN
Bundy, NNP
confessed, VBN
to, TO
more, RBR
than, IN
30, CD
murders, NNS
bef, NN
., .
CONFIRMED, NN
Twentieth, NN
Century, NN
Fox, NN
Animation, NN
Blue, NNP
Sky, NN
Studios, NNS
Announce, NN
Ice, NN
Age, NN
Casting, VBG
Nicki, NN
Minaj, NN
is, VBZ
on, IN
the, DT
LINEUP, NN
., .
Report, NN
shows, NNS
rise, NN
in, IN
house, NN
sales, NNS
A, DT
University, NNP
of, IN
Ulster, NN
study, NN
shows, NNS
a, DT
rise, NN
in, IN
the, DT
number, NN
of, IN
house, NN
sales, NNS
in, IN
Nort, NN
., .
Philippine, NN
Dragon, NN
Boat, NN
Team, NN
has, VBZ
bagged, VBN
its, PRP$
first, RB
gold, NN
medal, NN
at, IN
the, DT
International, NNP
Dragon, NN
Boat, NN
World, NN
Championships, NNS
., .
Elderly, JJ
In, IN
The, DT
US, NN
Find, IN
Medication, NN
Costs, NNS
A, DT
Barrier, NN
To, TO
Effective, JJ
Treatment, NN
As, IN
many, JJ
as, IN
one, CD
in, IN
ten, NNS
elderly, RB
people, NNS
i, NN
., .
Bayern, NNP
and, CC
Dortmund, NN
top, NN
favorites, NNS
to, TO
take, VB
the, DT
Bundesliga, NN
title, NN
Will, MD
Bayern, NNP
Munich, NNP
let, VB
Borussia, NN
Dortmund, NN
take, VB
another, DT
title, NN
And, CC
do, VB
n, NN
., .
Philippine, NN
Airlines, NNS
flight, NN
to, TO
LA, NNP
diverted, VBN
to, TO
Japan, NNP
AP, NN
AP, NN
Philippine, NN
Airlines, NNS
says, VBZ
its, PRP$
flight, NN
to, TO
Los, NNP
A, DT
., .
SECJPN, NN
Libya, NN
Denies, NNS
Death, NN
of, IN
Gadhafi, NNP
Son, NN
Read, VB
more, RBR
at, IN
., .
Minnesota, NN
High, JJ
School, NN
Faces, NNS
Lawsuit, NN
Over, IN
Racially, RB
Charged, VBN
Homecoming, VBG
Theme, NN
A, DT
Minnesota, NN
school, NN
district, NN
is, VBZ
getting, VBG
sued, VBN
for, IN
allowing, VBG
., .
Neil, NN
Armstrong, NNP
the, DT
first, RB
human, NN
to, TO
walk, NN
on, IN
the, DT
moon, NN
turns, NNS
81, CD
today, NN
Happy, JJ
Birthday, NN
., .
Today, NN
launch, NN
of, IN
NASAJuno, NN
begins, NNS
a, DT
6, CD
year, NN
2, CD
1, CD
billion, CD
mile, NN
adventure, NN
to, TO
study, NN
our, PRP$
largest, JJS
planetary, JJ
neighbor, NN
Jupiter, NN
., .
Man, NN
shot, NN
by, IN
police, NNS
was, VBD
in, IN
minicab, NN
A, DT
man, NN
shot, NN
dead, JJ
by, IN
police, NNS
in, IN
north, NN
London, NNP
was, VBD
a, DT
passenger, NN
in, IN
a, DT
cab, NN
stopped, VBD
du, NN
., .
NATO, NNP
bombed, NN
a, DT
hospital, NN
in, IN
the, DT
city, NN
of, IN
Zliten, VB
., .
Box, NN
Office, NN
Report, NN
Rise, NN
of, IN
the, DT
Planet, NN
of, IN
the, DT
Apes, NNS
Grosses, NNS
1, CD
3, CD
Million, NN
in, IN
Midnight, NN
Runs, NNS
apeswillrise, NN
., .
Congress, NNP
disapproval, NN
rating, NN
highest, JJS
since, IN
1977, CD
Houston, NNP
Business, NN
Journal, NNP
Solution, NN
TERM, NN
LIMITS, NNS
FOR, IN
ALL, DT
OF, IN
THEM, NN
., .
Syria, NNS
Homs, NNS
all, DT
neighborhoods, NNS
are, VBP
under, IN
either, DT
shelling, VBG
or, CC
shooting, VBG
people, NNS
are, VBP
responding, VBG
with, IN
Takbeer, NN
chants, NNS
RamadanMassacre, NN
., .
KU, NNP
officials, NNS
will, MD
not, RB
file, NN
a, DT
civil, JJ
suit, NN
against, IN
defendants, NNS
in, IN
ticket, NN
scandal, NN
., .
sineadgleeson, NN
10, CD
000, CD
expected, VBN
at, IN
Irelands, NNS
only, RB
FREE, JJ
music, NN
fest, NN
with, IN
sharonshannon, NN
plus, CC
30, CD
other, JJ
acts, NNS
ballinamusicfes, NN
Co, NNP
Mayo, NN
see, VB
u, NN
there, RB
., .
Small, NN
Piccosat, NN
deployed, NN
on, IN
last, JJ
day, NN
of, IN
mission, NN
w, NN
camera, NN
Result, NN
the, DT
last, JJ
picture, NN
ever, RB
taken, VBN
of, IN
a, DT
Shuttle, NN
in, IN
space, NN
., .
KELO, NNP
Argus, NN
Poll, NN
Prices, NNS
Impact, NN
Air, NNP
Travel, NN
By, IN
Ben, NNP
Dunsmoor, NN
There, EX
been, VBN
a, DT
big, JJ
effort, NN
over, IN
the, DT
last, JJ
year, NN
to, TO
lower, JJR
., .
More, RBR
S, NN
P, NN
downgrade, NN
of, IN
US, NN
credit, NN
is, VBZ
1, CD
notch, NN
to, TO
AA, NN
plus, CC
from, IN
AAA, NN
., .
Now, RB
S, NN
P, NN
fires, NNS
a, DT
torpedo, NN
into, IN
the, DT
US, NN
economy, NN
by, IN
downgrading, VBG
govt, NN
debt, NN
How, WRB
did, VBD
we, PRP
give, VB
it, PRP
such, JJ
power, NN
2, CD
2, CD
., .
Sad, NN
that, IN
out, IN
of, IN
control, NN
spending, NN
lack, NN
of, IN
leadership, NN
in, IN
DC, NN
means, NNS
BarackObama, NNP
presiding, VBG
over, IN
1st, CD
US, NN
credit, NN
downgrade, NN
., .
Credit, NN
default, NN
swap, NN
prices, NNS
suggest, NN
investors, NNS
think, NN
France, NNP
has, VBZ
3x, CD
the, DT
default, NN
risk, NN
of, IN
United, NNP
States, NNS
But, CC
S, NN
P, NN
rates, NNS
them, PRP
AAA, NN
., .
The, DT
S, NN
P, NN
downgraded, VBN
the, DT
United, NNP
States, NNS
from, IN
AAA, NN
to, TO
AA, NN
Looks, NNS
like, IN
Dad, NN
is, VBZ
going, VBG
to, TO
have, VB
to, TO
pick, NN
a, DT
new, JJ
country, NN
to, TO
be, VB
his, PRP$
favorite, NN
., .
Miami, NN
Beach, NN
Police, NNS
Issue, NN
Policy, NN
On, IN
Dealing, VBG
With, IN
Photographers, NNS
And, CC
Videographers, NNS
The, DT
Miami, NN
Beach, NN
Police, NNS
Departm, NN
., .
COREY, NN
HART, NN
Hits, NNS
a, DT
solo, NN
homer, NN
to, TO
leadoff, NN
the, DT
6th, CD
Brewers, NNS
lead, NN
7, CD
1, CD
in, IN
Houston, NNP
., .
newtgingrich, JJ
The, DT
Obama, NN
disaster, NN
continues, VBZ
Highest, JJS
food, NN
stamp, NN
level, NN
and, CC
lowest, JJS
credit, NN
rating, NN
in, IN
history, NN
in, IN
the, DT
same, JJ
24, CD
hours, NNS
., .
S, NN
P, NN
has, VBZ
downgraded, VBN
the, DT
U, NN
S, NN
credit, NN
rating, NN
AP, NN
explains, NNS
what, WP
that, IN
means, NNS
and, CC
why, WRB
it, PRP
happened, VBD
., .
RT, NN
BryanHoch, NN
Ballgame, NN
over, IN
Yankees, NNS
win, NN
Bombers, NNS
take, VB
sole, NN
possession, NN
of, IN
1st, CD
place, NN
for, IN
the, DT
first, RB
time, NN
since, IN
the, DT
morning, NN
of, IN
July, NNP
7, CD
., .
Pinoy, NN
paddlers, NNS
celebrate, NN
with, IN
kabanayans, NNS
in, IN
Tampa, NN
2, CD
golds, NNS
and, CC
1, CD
silver, NN
today, NN
day, NN
2, CD
world, NN
championships, NNS
., .
Province, NN
job, NN
numbers, NNS
improve, VB
Some, DT
Saskatchewan, NN
communities, NNS
have, VB
however, RB
lost, VBN
jobs, NNS
over, IN
the, DT
past, NN
year, NN
as, IN
emp, NN
., .
20, CD
years, NNS
ago, RB
today, NN
the, DT
World, NN
Wide, IN
Web, NN
was, VBD
born, NN
TNW, NN
Insider, NN
via, IN
TNWinsider, NN
., .
Auberge, NN
Resorts, NNS
Announces, NNS
It, PRP
Is, NN
Again, NN
Honored, VBN
On, IN
2011, CD
Travel, NN
Leisure, NN
World, NNP
AP, NN
source, NN
G, NN
7, CD
to, TO
discuss, NN
ce, NN
., .
Mariano, NN
Rivera, NN
recorded, VBN
his, PRP$
52nd, CD
career, NN
save, VB
against, IN
the, DT
Red, JJ
Sox, NN
on, IN
Friday, NNP
night, NN
YankeesFacts, NNS
., .
BreakingNews, NNS
More, RBR
than, IN
20, CD
NavySEALs, NN
from, IN
unit, NN
that, IN
killed, VBN
Usama, NN
bin, NN
Laden, NNP
lost, VBN
their, PRP$
lives, NNS
in, IN
Afghanistan, NNP
helicopter, NN
attack, NN
., .
news, NN
Crisis, NN
deepens, NNS
in, IN
the, DT
Horn, NNP
of, IN
Africa, NNP
as, IN
famine, NN
spreads, NNS
., .
Another, DT
great, JJ
period, NN
by, IN
Providence, NN
and, CC
out, IN
shooting, VBG
Worcester, NN
33, CD
15, CD
for, IN
the, DT
game, NN
., .
Credit, NN
ratings, NNS
agencies, NNS
say, VB
more, RBR
bad, JJ
economic, JJ
news, NN
would, MD
mean, NN
America, NNP
is, VBZ
stripped, VBD
of, IN
another, DT
A, NNS
so, RB
it, PRP
would, MD
just, RB
be, VB
known, VBN
as, IN
Merica, NN
., .
If, IN
Arsene, NN
Wenger, NN
was, VBD
sent, NN
to, TO
run, VB
the, DT
U, NN
S, NN
economy, NN
and, CC
Barack, NN
Obama, NN
became, VBD
manager, NN
of, IN
Arsenal, JJ
might, MD
sort, NN
a, DT
lot, NN
of, IN
problems, NNS
., .
singapore, NN
Football, NN
Big, JJ
spending, NN
PSG, NN
fall, NN
in, IN
season, NN
openerbit, NN
lyPARIS, NN
Paris, NNP
Saint, NN
Germain, NN
failed, VBD
to, TO
news, NN
., .
Warren, NNS
Jeffs, NNS
nephew, NN
He, PRP
raped, VBD
me, PRP
Jurors, NNS
will, MD
hear, NN
additional, JJ
testimony, NN
Saturday, NNP
in, IN
an, DT
effort, NN
to, TO
determine, NN
the, DT
., .
RT, NN
darrenrovell, NN
Congratulations, NNS
to, TO
Richard, NNP
Dent, NN
who, WP
becomes, NNS
the, DT
1st, CD
Hall, NN
of, IN
Famer, NN
in, IN
any, DT
sport, NN
to, TO
name, NN
every, DT
single, JJ
person, NN
who, WP
helped, VBD
him, PRP
., .
Happy, JJ
birthday, NN
100PCT, CD
Birthday, NN
presents, NNS
lots, NNS
to, TO
learn, NN
about, IN
richardbertinet, NN
colchestercookschool, NN
hilskitchen, NN
., .
18DialSquare86, CD
Gooner11396, NN
ram_gooner182, NN
Memz_Dogi, NN
fans, NNS
do, VBP
value, NN
it, PRP
at, IN
all, DT
Even, RB
then, RB
though, IN
look, NN
at, IN
how, WRB
we, PRP
regressed, VBN
since, IN
that, IN
., .
18DialSquare86, CD
Gooner11396, NN
ram_gooner182, NN
Memz_Dogi, NN
game, NN
People, NNS
frustrations, NNS
are, VBP
justified, JJ
The, DT
FA, NN
cup, NN
win, NN
was, VBD
ace, NN
and, CC
he, PRP
deserves, NNS
., .
18DialSquare86, CD
attwood10, NN
he, PRP
should, MD
go, VB
right, NN
now, RB
are, VBP
all, DT
WOB, NNP
woth, NN
agendas, NNS
dismissing, VBG
FA, NN
cup, NN
win, NN
if, IN
that, IN
makes, VBZ
sense, NN
Many, JJ
likely, JJ
., .
18DialSquare86, CD
JohnJig, NN
if, IN
opposition, NN
fans, NNS
were, VBD
voting, NN
they, PRP
be, VB
voting, NN
him, PRP
to, TO
stay, NN
if, IN
anything, NN
., .
samspge, NN
1Pepsy, CD
The, DT
Police, NNS
out, IN
there, RB
love, NN
shooting, VBG
Animals, NNS
They, PRP
need, NN
to, TO
concentrate, NN
on, IN
the, DT
Criminals, NNS
., .
ADAM, NN
LAMBERT, NN
ON, NN
XFACTOR, NN
OMG, NN
., .
Like, IN
I, PRP
dunno, NN
what, WP
happening, VBG
right, NN
now, RB
CSmilliexo, NN
harrietpurnellx, NN
ALFIEgaspar, NN
., .
Who, WP
thinks, NNS
that, IN
Abigail, NN
Breslin, NNP
is, VBZ
about, IN
to, TO
be, VB
best, JJS
mates, NNS
with, IN
Acacia, NN
., .
Loving, VBG
the, DT
replay, NN
of, IN
the, DT
start, NN
Hope, NN
Nico, NN
enjoyed, VBN
that, IN
view, NN
of, IN
Lewis, NNP
driving, VBG
by, IN
as, IN
much, JJ
as, IN
we, PRP
did, VBD
lewis, NN
AbuDhabiGP, NN
., .
Yesssss, NN
Feel, NN
for, IN
Rosberg, NNP
but, CC
get, VB
in, IN
there, RB
Lewis, NNP
Double, JJ
World, NN
Champion, NN
More, RBR
of, IN
the, DT
same, JJ
in, IN
2015, CD
please, NN
hammertime, NN
AbuDhabiGP, NN
., .
Learning, VBG
BPO, NN
Services, NNS
Classroom, NN
Technology, NN
Accenture, NN
Buckinghamshire, NN
Milton, NNP
Keynes, NNS
IT, NN
Job, NN
., .
Accone, NN
HDMIPi, NN
a, DT
happy, JJ
boy, NN
Want, VB
to, TO
see, VB
some, DT
projects, NNS
now, RB
after, IN
the, DT
turkey, NN
goes, VBZ
down, RB
of, IN
course, NN
., .
Well, RB
done, VBN
for, IN
making, VBG
Exeter, NN
fans, NNS
travel, NN
up, RB
to, TO
Accrington, NNP
on, IN
a, DT
Friday, NNP
night, NN
you, PRP
well, RB
good, JJ
at, IN
thinking, VBG
of, IN
the, DT
fans, NNS
football_league, NN
., .
From, IN
queen, NN
Adam, NN
lambert, NN
to, TO
union, NN
j, NN
., .
Found, IN
it, PRP
think, NN
I, PRP
have, VB
breathing, NN
problems, NNS
now, RB
AdamWaithe, NN
., .
adiepf, NN
there, RB
was, VBD
some, DT
ITK, NN
that, IN
younger, JJR
players, NNS
were, VBD
happy, JJ
with, IN
Ade, NN
Lennon, NN
Labs, NNS
stick, NN
up, RB
for, IN
them, PRP
Poch, NN
did, VBD
agree, NN
so, RB
dropped, VBD
1, CD
2, CD
., .
me, PRP
I, PRP
really, RB
want, NN
some, DT
Adidas, NNS
trainers, NNS
dad, NN
finally, RB
You, PRP
getting, VBG
good, JJ
taste, NN
says, VBZ
the, DT
man, NN
that, IN
walks, NNS
round, NN
in, IN
track, NN
suit, NN
bottoms, NNS
., .
Costa, NN
scores, NNS
in, IN
a, DT
team, NN
that, IN
is, VBZ
world, NN
class, NN
and, CC
probably, RB
go, VB
on, IN
tobe, NN
invisible, JJ
Aguero, NN
scores, NNS
in, IN
a, DT
team, NN
that, IN
is, VBZ
out, IN
of, IN
form, NN
and, CC
saved, VBN
them, PRP
., .
Aishmurda, NNP
REMINDER, NN
THAT, DT
A, DT
BLACK, NNP
MAN, NN
GOT, NNP
23, CD
YEARS, NNS
FOR, IN
SHOOTING, NN
A, DT
POLICE, NNS
DOG, NN
SAY, NN
IT, NN
AGAIN, RB
., .
AlexChaffer, NN
Here, RB
what, WP
Gündoğan, NN
had, VBD
to, TO
say, VB
on, IN
the, DT
quotes, NNS
In, IN
English, JJ
., .
BBCTheArchers, NNS
David, NNP
you, PRP
should, MD
have, VB
listened, VBN
to, TO
your, PRP$
Mother, NN
on, IN
Lakey, NN
hill, NN
do, VBP
choose, NN
Money, NN
over, IN
your, PRP$
rural, JJ
roots, NNS
and, CC
sell, NN
out, IN
Ambridge, NN
., .
TheRealist_Jay, NN
ffs, NNS
is, VBZ
that, IN
another, DT
ignorant, NN
American, JJ
or, CC
a, DT
Brit, NN
., .
donnajoan2410, NN
andyfrater0497, NN
the, DT
jokes, NNS
when, WRB
I, PRP
leave, VB
you, PRP
for, IN
Andy, NNP
>, NN
everything, NN
else, RB
., .
Angelina, NNP
is, VBZ
all, DT
that, IN
matters, NNS
., .
angelocampione, NN
Buenos, NNS
dias, NN
Angelo, NN
por, NN
FIN, NN
tengo, NN
UN, NN
colega, NN
por, NN
estos, NNS
lares, NNS
Que, NN
hacen, NN
a, DT
tus, NN
bollos, NN
pelones, NNS
diferentes, NNS
Saludos, NN
., .
ImaACeleb, NN
even, RB
my, PRP$
kitten, VB
is, VBZ
enjoying, VBG
abit, NN
Ant, NN
Dec, NN
., .
Arselona, NN
woodysirish, NN
Orangeiceman10, NN
he, PRP
good, JJ
in, IN
possession, NN
awful, NN
without, IN
it, PRP
Too, NN
slow, VB
Not, RB
a, DT
leader, NN
either, DT
IMO, NN
., .
double_canister, NN
Arselona, NN
woodysirish, NN
sure, NN
but, CC
like, IN
I, PRP
said, VBD
he, PRP
adjusting, VBG
pace, NN
of, IN
the, DT
game, NN
probably, RB
a, DT
lot, NN
for, IN
him, PRP
., .
The, DT
problem, NN
Arsenal, JJ
has, VBZ
is, VBZ
a, DT
lack, NN
of, IN
leadership, NN
throughout, IN
the, DT
club, NN
–, NN
from, IN
the, DT
dressing, VBG
room, NN
to, TO
the, DT
dugout, NN
to, TO
the, DT
board, NN
room, NN
Henry, NN
winter, NN
., .
xmaarkyx, NN
yes, NNS
Mark, NN
good, JJ
job, NN
Arsenal, JJ
and, CC
Liverpool, NN
slipping, VBG
up, RB
You, PRP
well, RB
mate, NN
., .
jimbobgooner, NN
indeed, RB
Arsenal, JJ
DNA, NN
lol, NN
., .
Vine_Football, NN
Half, NN
time, NN
West, NNP
Brom, IN
0, CD
0, CD
Arsenal, JJ
Glyn_Hughes, NNS
., .
Watching, VBG
the, DT
news, NN
when, WRB
Asda, NN
opened, VBN
and, CC
the, DT
people, NNS
standing, VBG
on, IN
eachother, NN
punching, VBG
eachother, NN
all, DT
sorts, NNS
., .
AsimTanvir, NN
when, WRB
using, VBG
a, DT
player, NN
trade, NN
in, IN
transfers, NNS
if, IN
you, PRP
choose, NN
more, RBR
than, IN
one, CD
trade, NN
with, IN
same, JJ
player, NN
and, CC
more, RBR
than, IN
1, CD
is, VBZ
successful, JJ
the, DT
., .
Australia, NNP
Rottnest, JJS
Island, NN
remember, VB
it, PRP
well, RB
., .
Today, NN
I, PRP
at, IN
the, DT
BAFSAfocus, NN
seminar, NN
on, IN
Sprinklers, NNS
in, IN
Warehouses, NNS
hosted, VBN
by, IN
Bucksfire, NN
., .
BBCR1, NN
I, PRP
got, VBD
a, DT
feeling, VBG
there, EX
going, VBG
to, TO
be, VB
a, DT
lot, NN
of, IN
innuendos, NN
off, IN
tonight, NN
one, CD
show, NN
SausageFest, JJS
., .
BBCTheArchers, NNS
David, NNP
you, PRP
should, MD
have, VB
listened, VBN
to, TO
your, PRP$
Mother, NN
on, IN
Lakey, NN
hill, NN
do, VBP
choose, NN
Money, NN
over, IN
your, PRP$
rural, JJ
roots, NNS
and, CC
sell, NN
out, IN
Ambridge, NN
., .
BScanlan9, NN
He, PRP
be, VB
back, RB
in, IN
League, NN
2, CD
next, JJ
season, NN
Thought, NN
he, PRP
could, MD
do, VB
better, RBR
than, IN
Wycombe, NN
and, CC
has, VBZ
., .
We, PRP
love, NN
Sunday, NNP
BTownMK, NN
Fresh, JJ
delicious, JJ
Buffet, NN
241, CD
Cocktails, NNS
Let, VB
us, PRP
do, VB
the, DT
cooking, NN
whilst, NN
you, PRP
relax, NN
and, CC
enjoy, NN
., .
Paul, NNP
Mitchell, NNP
at, IN
Spurs, NNS
If, IN
he, PRP
brings, NNS
attitude, NN
and, CC
nous, JJ
he, PRP
had, VBD
at, IN
MK, NN
Dons, NNS
we, PRP
are, VBP
in, IN
good, JJ
hands, NNS
Now, RB
we, PRP
just, RB
need, NN
to, TO
out, IN
Baldini, NNP
mkarmy, NN
., .
Collision, NN
Coalition, NN
maybe, RB
detikcom, NN
Kapolri, NNP
Tak, NN
Keluarkan, VB
Izin, NN
Munas, NNS
Golkar, NN
di, NN
Bali, NN
Idrus, NN
Marham, NN
Tak, NN
Percaya, NN
Collision, NN
., .
BanTheBBC, NN
greenygreen96, NN
capitalism, NN
is, VBZ
freedom, NN
Not, RB
by, IN
any, DT
stretch, NN
of, IN
the, DT
imagination, NN
., .
BanterBus9, NN
you, PRP
are, VBP
a, DT
Jennifer, NN
Aniston, NNP
wannabe, NN
but, CC
in, IN
reality, NN
you, PRP
look, NN
like, IN
Gemma, NN
Collins, NNS
Stop, VB
mocking, VBG
people, NNS
and, CC
turn, NN
those, DT
D, NNP
into, IN
A, DT
., .
lynxlynx8, NN
SeaWorld, NN
